wm_yr_wk,weekly_units,week_start,n_days,month,lag_1,lag_2,lag_4,lag_52,rolling_mean_4,rolling_std_4,rolling_mean_8,momentum,recent_cv,week_of_year,month_sin,month_cos,woy_sin,woy_cos,near_payday,time_index,national_events,other_events,snap_days,avg_price,price_rolling_4,price_relative,store_traffic_lag1,cat_share_lag1,cat_id_FOODS,cat_id_HOBBIES,cat_id_HOUSEHOLD,store_id_CA_1,store_id_CA_2,store_id_CA_3,store_id_CA_4,store_id_TX_1,store_id_TX_2,store_id_TX_3,store_id_WI_1,store_id_WI_2,store_id_WI_3,state_id_CA,state_id_TX,state_id_WI
11201,18577,2012-01-28,7,1,16835.0,17588.0,18445.0,17774.0,17963.0,946.5329717799953,18085.5,-753.0,0.05269347947336164,4,0.49999999999999994,0.8660254037844387,0.4647231720437685,0.8854560256532099,0,0.9965776865160849,0,0,3,3.266154708520179,3.2605417651071944,0.001721475698625275,22905.0,0.7349923597467802,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11202,20608,2012-02-04,7,2,18577.0,16835.0,18984.0,18319.0,17996.0,970.9256751506107,18083.25,1742.0,0.053952304687186634,5,0.8660254037844386,0.5000000000000001,0.5680647467311558,0.8229838658936564,1,1.0157426420260096,0,1,7,3.2610279329608938,3.260637352806345,0.00011978644427064982,25052.0,0.7415376017882804,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11203,19479,2012-02-11,7,2,20608.0,18577.0,17588.0,15515.0,18402.0,1634.5382630374045,18344.125,2031.0,0.08882394647524207,6,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,0,1.0349075975359343,0,1,0,3.254581939799331,3.2618454854718557,-0.0022268208916933967,26957.0,0.764476759283303,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11204,18049,2012-02-18,7,2,19479.0,20608.0,16835.0,14860.0,18874.75,1593.5817885087258,18219.375,-1129.0,0.08442929249440262,7,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,1,1.054072553045859,1,1,0,3.2644888888888888,3.2602042731739824,0.0013142169495824402,25782.0,0.7555271119385618,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11205,18582,2012-02-25,7,2,18049.0,19479.0,18577.0,15253.0,19178.25,1121.2110639839414,18570.625,-1430.0,0.058462636788233616,8,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,0,1.0732375085557837,0,1,2,3.267527716186253,3.2615633675423235,0.0018286778369183308,24465.0,0.7377478029838545,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11206,21586,2012-03-03,7,3,18582.0,18049.0,20608.0,17697.0,19179.5,1120.3197460249175,18587.75,533.0,0.05841235412940471,9,1.0,6.123233995736766e-17,0.8854560256532099,0.4647231720437686,1,1.0924024640657084,0,1,7,3.2737077426390404,3.2619066194588417,0.0036178605205309322,25484.0,0.7291633966410297,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11207,20018,2012-03-10,7,3,21586.0,18582.0,19479.0,15178.0,19424.0,1557.439993493597,18913.0,3004.0,0.0801812187754117,10,1.0,6.123233995736766e-17,0.9350162426854148,0.35460488704253557,0,1.111567419575633,0,0,1,3.28147311827957,3.265076571878378,0.005021795366887482,28298.0,0.7628100925860485,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11208,18906,2012-03-17,7,3,20018.0,21586.0,18049.0,13924.0,19558.75,1586.824790790297,19216.75,-1568.0,0.0811311965637015,11,1.0,6.123233995736766e-17,0.970941817426052,0.23931566428755804,1,1.1307323750855578,0,1,0,3.281489817792069,3.271799366498438,0.002961810981705107,27054.0,0.7399275523028018,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11209,19237,2012-03-24,7,3,18906.0,20018.0,18582.0,14812.0,19773.0,1356.1174973676393,19475.625,-1112.0,0.0685843067499944,12,1.0,6.123233995736766e-17,0.992708874098054,0.120536680255323,0,1.1498973305954825,0,0,0,3.287916666666667,3.276049598724233,0.00362237126905993,25525.0,0.7406856023506366,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11210,23371,2012-03-31,7,3,19237.0,18906.0,21586.0,17200.0,19936.75,1194.2532883214803,19558.125,331.0,0.059902104822575415,13,1.0,6.123233995736766e-17,1.0,-1.6081226496766364e-16,0,1.1690622861054072,0,0,6,3.285260361317747,3.2811468363443366,0.0012536851224839978,26155.0,0.7354999044159817,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11211,21599,2012-04-07,7,4,23371.0,19237.0,20018.0,14785.0,20383.0,2045.826157489113,19903.5,4134.0,0.10036923698617049,14,0.8660254037844387,-0.4999999999999998,0.992708874098054,-0.12053668025532288,1,1.1882272416153319,0,1,4,3.2875894736842106,3.284034991014013,0.0010823522526171086,30464.0,0.7671678046218487,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11212,19660,2012-04-14,7,4,21599.0,23371.0,18906.0,14459.0,20778.25,2103.707421830961,20168.5,-1772.0,0.10124564974581406,15,0.8660254037844387,-0.4999999999999998,0.9709418174260521,-0.2393156642875575,0,1.2073921971252566,0,2,0,3.291244769874477,3.2855640798651735,0.0017289846952358004,28579.0,0.7557647223485776,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11213,19426,2012-04-21,7,4,19660.0,21599.0,19237.0,12365.0,20966.75,1904.362426115366,20369.875,-1939.0,0.090827735634534,16,0.8660254037844387,-0.4999999999999998,0.9350162426854148,-0.35460488704253545,1,1.2265571526351813,0,0,0,3.299259645464025,3.288002817885775,0.0034236064266782275,26345.0,0.7462516606566711,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11214,21138,2012-04-28,7,4,19426.0,19660.0,23371.0,14728.0,21014.0,1848.6692511101066,20475.375,-234.0,0.08797322028695663,17,0.8660254037844387,-0.4999999999999998,0.8854560256532099,-0.4647231720437685,0,1.2457221081451062,0,0,4,3.3046930280957336,3.2908385625851153,0.004210010684855639,25880.0,0.7506182380216383,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11215,23540,2012-05-05,7,5,21138.0,19426.0,21599.0,14449.0,20455.75,1074.878093863052,20419.375,1712.0,0.05254650129489518,18,0.49999999999999994,-0.8660254037844387,0.8229838658936565,-0.5680647467311557,1,1.264887063655031,0,1,6,3.305672877846791,3.2956967292796113,0.003027022625762204,28231.0,0.7487513726045836,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11216,22093,2012-05-12,7,5,23540.0,21138.0,19660.0,13411.0,20941.0,1891.1897489851906,20859.625,2402.0,0.09031038388735928,19,0.49999999999999994,-0.8660254037844387,0.7485107481711013,-0.663122658240795,0,1.2840520191649556,0,1,0,3.3033676622039136,3.3002175803202567,0.0009545073338319908,29584.0,0.7957003785830179,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11217,21190,2012-05-19,7,5,22093.0,23540.0,19426.0,12846.0,21549.25,1725.88786329433,21258.0,-1447.0,0.08009039123377054,20,0.49999999999999994,-0.8660254037844387,0.6631226582407952,-0.7485107481711012,1,1.3032169746748803,0,0,0,3.301211498973306,3.303248303402616,-0.0006166065164437328,27778.0,0.7953416372669019,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11218,20459,2012-05-26,7,5,21190.0,22093.0,21138.0,13642.0,21990.25,1122.3506210924766,21502.125,-903.0,0.05103855668273333,21,0.49999999999999994,-0.8660254037844387,0.5680647467311558,-0.8229838658936564,0,1.322381930184805,1,0,1,3.2963803680981596,3.3037362667799357,-0.002226539314212786,26921.0,0.787117863378032,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11219,22963,2012-06-02,7,6,20459.0,21190.0,23540.0,16119.0,21820.5,1326.9198669600719,21138.125,-731.0,0.06081069943218863,22,1.2246467991473532e-16,-1.0,0.46472317204376906,-0.8854560256532096,1,1.3415468856947297,0,0,7,3.2996629213483146,3.301658101780543,-0.0006042964991294109,27717.0,0.7381390482375437,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11220,23000,2012-06-09,7,6,22963.0,20459.0,22093.0,14983.0,21676.25,1087.434710683819,21308.625,2504.0,0.050167105042791954,23,1.2246467991473532e-16,-1.0,0.35460488704253584,-0.9350162426854147,0,1.3607118412046544,0,1,2,3.2969755600814663,3.3001556126559235,-0.0009636068560712283,30483.0,0.7533051208870518,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11221,21463,2012-06-16,7,6,23000.0,22963.0,21190.0,14578.0,21903.0,1280.6917401675294,21726.125,37.0,0.058471065158541266,24,1.2246467991473532e-16,-1.0,0.23931566428755768,-0.970941817426052,1,1.379876796714579,0,2,0,3.301725888324873,3.2985575871253117,0.000960511107014664,30840.0,0.7457846952010376,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11222,20324,2012-06-23,7,6,21463.0,23000.0,20459.0,14102.0,21971.25,1236.5425926078465,21980.75,-1537.0,0.05628002924766895,25,1.2246467991473532e-16,-1.0,0.12053668025532308,-0.992708874098054,0,1.3990417522245038,0,0,0,3.300670050761421,3.298686184463204,0.0006014110428452486,29198.0,0.7350845948352627,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11223,22965,2012-06-30,7,6,20324.0,21463.0,22963.0,17681.0,21937.5,1292.1673008296311,21879.0,-1139.0,0.05890221314323105,26,1.2246467991473532e-16,-1.0,-3.216245299353273e-16,-1.0,0,1.4182067077344285,1,0,6,3.3043306288032457,3.2997586051290186,0.001385563073347385,28040.0,0.7248216833095578,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11224,22329,2012-07-07,7,7,22965.0,20324.0,23000.0,14836.0,21938.0,1292.6966645994983,21807.125,2641.0,0.05892500066548902,27,-0.4999999999999997,-0.8660254037844388,-0.12053668025532283,-0.992708874098054,1,1.4373716632443532,0,0,4,3.306943319838057,3.3009255319927515,0.0018230607709809408,31046.0,0.7397088191715518,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11225,20548,2012-07-14,7,7,22329.0,22965.0,21463.0,14410.0,21770.25,1143.9217266345927,21836.625,-636.0,0.05254518099859178,28,-0.4999999999999997,-0.8660254037844388,-0.23931566428755743,-0.9709418174260521,0,1.4565366187542779,0,1,0,3.293366935483871,3.3034174719318994,-0.003042466334765311,30270.0,0.7376610505450941,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11226,20231,2012-07-21,7,7,20548.0,22329.0,20324.0,13924.0,21541.5,1305.8658685587384,21756.375,-1781.0,0.06062093487262903,29,-0.4999999999999997,-0.8660254037844388,-0.3546048870425356,-0.9350162426854148,1,1.4757015742642026,0,0,0,3.2974193548387096,3.3013277337216484,-0.0011838809104035347,28206.0,0.728497482805077,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11227,20144,2012-07-28,7,7,20231.0,20548.0,22965.0,14911.0,21518.25,1335.2651110048027,21727.875,-317.0,0.06205268137533502,30,-0.4999999999999997,-0.8660254037844388,-0.46472317204376806,-0.8854560256532101,0,1.4948665297741273,0,0,3,3.2956927710843376,3.3005150597409707,-0.0014610715507571734,27634.0,0.7321053774335963,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11228,24086,2012-08-04,7,8,20144.0,20231.0,22329.0,15923.0,20813.0,1025.469973556841,21375.5,-87.0,0.04927064688208529,31,-0.8660254037844384,-0.5000000000000004,-0.5680647467311556,-0.8229838658936565,1,1.514031485284052,0,0,7,3.2919721115537848,3.298355595311244,-0.0019353534126318604,27535.0,0.7315779916469948,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11229,23037,2012-08-11,7,8,24086.0,20144.0,20548.0,15284.0,21252.25,1897.127367890728,21511.25,3942.0,0.08926713020460084,32,-0.8660254037844384,-0.5000000000000004,-0.663122658240795,-0.7485107481711013,0,1.5331964407939767,0,0,0,3.285164179104478,3.2946127932401756,-0.0028678982110080554,31209.0,0.7717645550962863,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11230,21963,2012-08-18,7,8,23037.0,24086.0,20231.0,14304.0,21874.5,1994.815029018982,21708.0,-1049.0,0.09119362860952168,33,-0.8660254037844384,-0.5000000000000004,-0.7485107481711011,-0.6631226582407952,1,1.5523613963039014,0,1,0,3.2906554121151936,3.2925621041453272,-0.0005790906806991082,30178.0,0.7633706673735834,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11231,20032,2012-08-25,7,8,21963.0,23037.0,20144.0,14013.0,22307.5,1682.7205155144854,21912.875,-1074.0,0.07543294925538431,34,-0.8660254037844384,-0.5000000000000004,-0.8229838658936564,-0.5680647467311559,0,1.571526351813826,0,0,0,3.2914101290963256,3.2908711184644486,0.0001637896509689231,29441.0,0.7460004755273258,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
