store_id,state_id,cat_id,wm_yr_wk,weekly_units,week_start,n_days,month
CA_1,CA,FOODS,11101,17774,2011-01-29,7,1
CA_1,CA,FOODS,11102,18319,2011-02-05,7,2
CA_1,CA,FOODS,11103,15515,2011-02-12,7,2
CA_1,CA,FOODS,11104,14860,2011-02-19,7,2
CA_1,CA,FOODS,11105,15253,2011-02-26,7,2
CA_1,CA,FOODS,11106,17697,2011-03-05,7,3
CA_1,CA,FOODS,11107,15178,2011-03-12,7,3
CA_1,CA,FOODS,11108,13924,2011-03-19,7,3
CA_1,CA,FOODS,11109,14812,2011-03-26,7,3
CA_1,CA,FOODS,11110,17200,2011-04-02,7,4
CA_1,CA,FOODS,11111,14785,2011-04-09,7,4
CA_1,CA,FOODS,11112,14459,2011-04-16,7,4
CA_1,CA,FOODS,11113,12365,2011-04-23,7,4
CA_1,CA,FOODS,11114,14728,2011-04-30,7,4
CA_1,CA,FOODS,11115,14449,2011-05-07,7,5
CA_1,CA,FOODS,11116,13411,2011-05-14,7,5
CA_1,CA,FOODS,11117,12846,2011-05-21,7,5
CA_1,CA,FOODS,11118,13642,2011-05-28,7,5
CA_1,CA,FOODS,11119,16119,2011-06-04,7,6
CA_1,CA,FOODS,11120,14983,2011-06-11,7,6
CA_1,CA,FOODS,11121,14578,2011-06-18,7,6
CA_1,CA,FOODS,11122,14102,2011-06-25,7,6
CA_1,CA,FOODS,11123,17681,2011-07-02,7,7
CA_1,CA,FOODS,11124,14836,2011-07-09,7,7
CA_1,CA,FOODS,11125,14410,2011-07-16,7,7
CA_1,CA,FOODS,11126,13924,2011-07-23,7,7
CA_1,CA,FOODS,11127,14911,2011-07-30,7,7
CA_1,CA,FOODS,11128,15923,2011-08-06,7,8
CA_1,CA,FOODS,11129,15284,2011-08-13,7,8
CA_1,CA,FOODS,11130,14304,2011-08-20,7,8
CA_1,CA,FOODS,11131,14013,2011-08-27,7,8
CA_1,CA,FOODS,11132,16045,2011-09-03,7,9
CA_1,CA,FOODS,11133,14187,2011-09-10,7,9
CA_1,CA,FOODS,11134,14356,2011-09-17,7,9
CA_1,CA,FOODS,11135,15289,2011-09-24,7,9
CA_1,CA,FOODS,11136,18114,2011-10-01,7,10
CA_1,CA,FOODS,11137,17611,2011-10-08,7,10
CA_1,CA,FOODS,11138,15576,2011-10-15,7,10
CA_1,CA,FOODS,11139,15890,2011-10-22,7,10
CA_1,CA,FOODS,11140,16614,2011-10-29,7,10
CA_1,CA,FOODS,11141,19302,2011-11-05,7,11
CA_1,CA,FOODS,11142,16198,2011-11-12,7,11
CA_1,CA,FOODS,11143,18461,2011-11-19,7,11
CA_1,CA,FOODS,11144,14529,2011-11-26,7,11
CA_1,CA,FOODS,11145,18595,2011-12-03,7,12
CA_1,CA,FOODS,11146,18521,2011-12-10,7,12
